question,answer,url
"Что понимается под EGS рейтингом?","под ESG-рейтингом (рейтингом устойчивого развития) понимается выраженное публично независимое внешнее мнение о профиле рейтингуемого лица (организации или эмитента) – количественных и качественных характеристиках его деятельности в области устойчивого развития – на дату присвоения ESG-рейтинга, а также об управлении и подверженности рейтингуемого лица рискам устойчивого развития на горизонте от одного года до трех лет","https://www.cbr.ru/Crosscut/LawActs/File/6225"
"фактор обусловливающих реализуемые организацией модели и практики корпоративного управления","Один из определяющих факторов, обусловливающих реализуемые организацией модели и практики корпоративного управления, – структура собственности организации и состав собственников.","https://www.cbr.ru/Crosscut/LawActs/File/6225"
"как определить категорию egs htqnbyuf","Для определения категории ESG-рейтинга можно использовать рейтинговую шкалу и соответствие итогового балла уровню ESG-рейтинга.","https://www.cbr.ru/Crosscut/LawActs/File/6225"
"для чего разработан стандарт ФИНАНСОВЫЕ СООБЩЕНИЯ В НПС.
ТОРГОВЫЕ ОПЕРАЦИИ?","Стандарт разработан в целях организации обмена финансовыми сообщениями в НПС в единых форматах, а также унификации средств взаимодействия автоматизированных систем участников рынка торговых операций, что позволяет обеспечить автоматизацию бизнес-процессов в НПС и автоматизированную сквозную обработку информации участников обмена финансовыми сообщениями.","https://www.cbr.ru/Crosscut/LawActs/File/7647"
"Что говорится в Информационном письме Банка России об аннулировании данных кредитной истории?","Пунктом 4 части 1 статьи 7 Федерального закона № 218-ФЗ предусмотрено аннулирование записи и (или) иных данных кредитной истории (далее – данные кредитной истории) на основании обращения источника, получившего копию акта Банка России о проведении контрольного мероприятия, предусмотренного частями четвертой и восьмой статьи 73.1-1 и частями седьмой и десятой статьи 76.5 Федерального закона № 86-ФЗ","https://www.cbr.ru/Crosscut/LawActs/File/7639"
"когда отменяются Методические рекомендации Банка России по усилению контроля операторами по переводу денежных средств за деятельностью банковских платежных агентов","С даты издания настоящего письма Банка России: Об отмене Методических рекомендаций Банка России по усилению контроля операторами по переводу денежных средств за деятельностью банковских платежных агентов от 14.04.2016 № 11-МР ","https://www.cbr.ru/Crosscut/LawActs/File/7673"
"для чего вышло письмо о информировании неквалифицированных инвесторов о дополнительных рисках, связанных с инвестированием в ценные бумаги иностранных эмитентов","В целях минимизации инфраструктурных рисков для физических лиц, являющихся неквалифицированными инвесторами, связанных с возможным введением мер ограничительного характера со стороны иностранных государств","https://www.cbr.ru/Crosscut/LawActs/File/6050"
"к кому обращено письмо Об отмене Методических рекомендаций Банка России по усилению контроля операторами по переводу денежных средств за деятельностью банковских платежных агентов от 14.04.2016 № 11-МР ","Кредитным организациям","https://www.cbr.ru/Crosscut/LawActs/File/7673"
"кто составил письмо Об отмене Методических рекомендаций Банка России по усилению контроля операторами по переводу денежных средств за деятельностью банковских платежных агентов от 14.04.2016 № 11-МР ","Первый заместитель Председателя Банка России О.Н. Скоробогатова","https://www.cbr.ru/Crosscut/LawActs/File/7673"
"Почему Банк России полагает возможным воздержаться от применения мер в соответствии со статьей 74 Федерального закона?","В связи с решениями Совета директоров Банка России от 16.09.2022 о перечне информации о деятельности кредитных организаций (далее – КО),которую Банк России не раскрывает на своем официальном сайте1, и о перечне информации КО (головных КО банковских групп), которую они временно не должны раскрывать2, а также в связи с постановлением Правительства Российской Федерации от 12.03.2022 № 3513 устанавливающим особенности раскрытия и предоставления информации в 2022 году эмитентами ценных бумаг","https://www.cbr.ru/Crosscut/LawActs/File/6003"
"Что решил банк россии В связи с решениями Совета директоров Банка России от 16.09.2022","Банк России полагает возможным воздержаться от применения мер в соответствии со статьей 74 Федерального закона","https://www.cbr.ru/Crosscut/LawActs/File/6003"
"Почему вышло письмо о представлении кредитными организациями в Банк России сведений о своих акционерах (участниках) и иных лицах","В связи с возникающими вопросами в отношении применения Указания Банка России № 5986-У1 и Указания Банка России № 6406-У","https://www.cbr.ru/Crosscut/LawActs/File/6254"
"что вступает в силу с 1 октября, описсаное в Информационном письмо о представлении кредитными организациями в Банк России сведений о своих акционерах (участниках) и иных лицах ","С 1 октября 2023 года вступает в силу подпункт 1.1.4 пункта 1 Указания Банка России № 5986-У, которым вводится в действие форма отчетности 04090533","https://www.cbr.ru/Crosscut/LawActs/File/6254"
"когда встпает в силу Указание Банка России № 6406-У","С 1 января 2024 года","https://www.cbr.ru/Crosscut/LawActs/File/6254"
"В связи с чем выходит письмо от 24.04.23","В связи с поступающими обращениями кредитных организаций по вопросам исполнения поручения налогового органа на списание и перечисление суммы задолженности в бюджетную систему Российской Федерации (далее – поручение налогового органа) при получении от налогового органа информации об изменении суммы задолженности, подлежащей перечислению по поручению налогового органа, не исполненному (частично исполненному) кредитной организацией по причине недостаточности денежных средств на банковском счете плательщика","https://www.cbr.ru/Crosscut/LawActs/File/6183"
"Что разъесняется в письме от 24.04.23","рекомендуем внести соответствующие изменения в реквизиты 6 («Сумма прописью»), 7 («Сумма»), 68 («Сумма остатка платежа»), ранее 2 составленного кредитной организацией на основании поручения налогового органа инкассового поручения, помещенного в очередь не исполненных в срок распоряжений (далее – инкассовое поручение), с сохранением его очередности","https://www.cbr.ru/Crosscut/LawActs/File/6183"
"Где следует опубликовать письмо обращенное к Главным управлениям Банка России и Кредитным организации и состаленное Первым заместителем Председателя Банка России В.В. Чистюхиным  01.06.2022","письмо подлежит опубликованию на официальном сайте Банка России в информационно-телекоммуникационной сети «Интернет».","https://www.cbr.ru/Crosscut/LawActs/File/5900"
"кто составил письмо в которм отменяется информационное письмо Банка России от 28.02.2019 № ИН-06-14/19 «Об особенностях применения Инструкции Банка России от 30.05.2014 № 153-И»","Первый заместитель Председателя Банка России В.В. Чистюхин","https://www.cbr.ru/Crosscut/LawActs/File/5900"
"что сообщается В целях формирования единообразной практики применения Закона о кредитных историях1 и повышения качества данных кредитных историй Банк России","В соответствии с частью 1.3 статьи 10 Закона о кредитных историях бюро кредитных историй обязано предоставить на безвозмездной основе источнику формирования кредитной истории возможность внесения изменений в ранее переданную информацию, определенную статьей 4 данного закона, в течение всего срока хранения кредитной истории в бюро кредитных историй.","https://www.cbr.ru/Crosscut/LawActs/File/5756"
"Что делать при необходимости внесения изменений в ранее переданную в бюро кредитных историй информацию до вступления в силу Положения № 758-П","При необходимости внесения изменений в ранее переданную в бюро кредитных историй информацию до вступления в силу Положения № 758-П Банк России рекомендует источникам формирования кредитных историй использовать механизм, предусмотренный пунктом 1.17 раздела 1 приложения 3 к Положению № 758-П","https://www.cbr.ru/Crosscut/LawActs/File/5756"
"Что сообщается В дополнение к информационному письму Центрального банка Российской Федерации от 10 ноября 2020 года № ИН-014-12/158","Банк России информирует о принятии Советом Безопасности ООН резолюции 2590 (2021) от 30 августа 2021 года, продлевающей до 31 августа 2022 года действие мер по замораживанию денежных средств и иного имущества, предусмотренных пунктом 4 резолюции Совета Безопасности ООН 2374 (2017).","https://www.cbr.ru/StaticHtml/File/117596/04102021_in_011_12-76.pdf"
"где размещен санкционный перечень, Совета Безопасности ООН по Мали","Текст резолюции 2590 (2021), а также санкционный перечень, составленный и обновляемый Комитетом Совета Безопасности ООН по Мали1 , размещены на официальном сайте ООН в информационнотелекоммуникационной сети «Интернет» и доступны по ссылкам: https://undocs.org/ru/S/RES/2590(2021); https://un.org/securitycouncil/ru/sanctions/2374/materials.","https://www.cbr.ru/StaticHtml/File/117596/04102021_in_011_12-76.pdf"
"почему вышло информационное письмо от 07.04.2024","Банк России в связи с поступающими вопросами кредитных
организаций о направлении в Банк России предусмотренных абзацем вторым
пункта 3.7 Указания Банка России от 27 ноября 2018 года № 4983-У
«О формах, порядке и сроках раскрытия кредитными организациями информации о своей деятельности»1 (далее – Указание № 4983-У) сведений об адресе официального сайта кредитной организации в информационнотелекоммуникационной сети «Интернет» (далее – сайт кредитной организации), на котором размещена информация о процентных ставках по договорам банковского вклада с физическими лицами, и дате раскрытия указанной информации ","https://www.cbr.ru/StaticHtml/File/117620/20210407_in_03_41-21.pdf"
"почему вышло Информационное письмо о порядке оказания услуг по выдаче держателям платежных карт наличных денег одновременно с покупкой в торгово-сервисных предприятиях ","По результатам реализации пилотного проекта по предоставлению услуг по выдаче держателям платежных карт наличных денег в торгово-сервисных предприятиях (далее соответственно – пилотный проект, услуга/операцияcash-out, ТСП) ","https://www.cbr.ru/StaticHtml/File/59420/20201103_in_06_59-157.pdf"
"о чем говорится в писме Информационное письмо о неприменении мер от 30 09 2020","Банк России информирует о неприменении до 31 декабря 2020 года мер, предусмотренных статьей 74 Федерального закона от 10.06.2002 № 86-ФЗ «О Центральном банке Российской Федерации (Банке России)», за нарушение кредитными организациями пункта 2 части 5 статьи 305 Федерального закона от 27.06.2011 № 161-ФЗ «О национальной платежной системе» и приложения 13 к Положению Банка России от 19.06.2012 № 383-П «О правилах осуществления перевода денежных средств»","https://www.cbr.ru/StaticHtml/File/59420/20200930_in_04_45-139.pdf"
"что рекомендуется делать в письме о Информационное письмо о неприменении
мер с клиентами получающими пенсионные выплаты от 30.09  2020","рекомендуется организовать дистанционное взаимодействие с клиентами – физическими лицами, получающими указанные выплаты на платежные карты, для выпуска им национальных платежных инструментов и их доставки при наличии такой возможности.","https://www.cbr.ru/StaticHtml/File/59420/20200930_in_04_45-139.pdf"
